asset_id,asset_class,date,open,high,low,close,volume,time_gap,is_abnormal_gap_gt_1h,is_price_violation,is_duplicate_timestamp,has_missing
GOOG,stock,2026-03-04 04:00:00,302.0,302.8,300.0,301.41,1599.0,0 days 08:05:00,1,0,0,0
GOOG,stock,2026-03-05 04:00:00,303.15,303.15,302.0,302.16,2482.0,0 days 08:05:00,1,0,0,0
GOOG,stock,2026-03-06 04:00:00,301.2,301.99,300.53,300.55,685.0,0 days 08:05:00,1,0,0,0
GOOG,stock,2026-03-09 04:00:00,293.2,293.32,290.95,291.82,5295.0,2 days 08:05:00,1,0,0,0
GOOG,stock,2026-03-10 04:00:00,305.85,306.3,305.85,306.3,0.0,0 days 08:05:00,1,0,0,0
MC.PA,stock,2026-02-12 09:00:00,533.0,533.5,531.9,533.0,13922.0,0 days 15:35:00,1,0,0,0
MC.PA,stock,2026-02-13 09:00:00,524.1,524.1,520.5,520.6,16042.0,0 days 15:35:00,1,0,0,0
MC.PA,stock,2026-02-16 09:00:00,521.7,522.0,518.4,519.3,18799.0,2 days 15:35:00,1,0,0,0
MC.PA,stock,2026-02-17 09:00:00,515.5,521.1,515.2,520.4,10931.0,0 days 15:35:00,1,0,0,0
MC.PA,stock,2026-02-18 09:00:00,529.0,529.2,526.7,528.7,11521.0,0 days 15:35:00,1,0,0,0
MC.PA,stock,2026-02-19 09:00:00,529.1,530.4,528.3,529.8,12527.0,0 days 15:35:00,1,0,0,0
MC.PA,stock,2026-02-20 09:00:00,541.4,544.0,540.1,541.9,34016.0,0 days 15:35:00,1,0,0,0
MC.PA,stock,2026-02-23 09:00:00,554.5,554.5,552.4,552.5,2381.0,2 days 15:35:00,1,0,0,0
MC.PA,stock,2026-02-24 09:00:00,554.6,556.5,553.3,556.3,3119.0,0 days 15:35:00,1,0,0,0
MC.PA,stock,2026-02-25 09:00:00,568.0,568.2,564.3,565.7,2150.0,0 days 15:35:00,1,0,0,0
MC.PA,stock,2026-02-26 09:00:00,549.6,551.3,548.4,550.6,1538.0,0 days 15:35:00,1,0,0,0
MC.PA,stock,2026-02-27 09:00:00,548.0,549.0,544.2,545.2,15978.0,0 days 15:35:00,1,0,0,0
MC.PA,stock,2026-03-02 09:00:00,510.0,517.0,506.0,514.5,69172.0,2 days 15:35:00,1,0,0,0
MC.PA,stock,2026-03-03 09:00:00,511.0,513.6,507.4,510.7,44300.0,0 days 15:35:00,1,0,0,0
MC.PA,stock,2026-03-04 09:00:00,509.6,510.0,504.5,504.8,17600.0,0 days 15:35:00,1,0,0,0
